Date,Open,High,Low,Close,TR,DM+,DM-,TR14,DM+_14,DM-_14,DI+,DI-,DI+_Sum,DI+_Diff,DX,ADX
2021-09-17,148.8200073,148.8200073,145.7599945,145.246109,,,,,,,,,,,,
2021-09-20,143.8000031,144.8399963,141.2700043,142.1434937,3.976104736,0,4.489990234,,,,,,,,,
2021-09-21,143.9299927,144.6000061,142.7799988,142.6307526,3.330001831,-0.2399902344,0,,,,,,,,,
2021-09-22,144.4499969,146.4299927,143.6999969,145.0372772,3.649993896,1.829986572,0,,,,,,,,,
2021-09-23,146.6499939,147.0800018,145.6399994,146.0118103,3.380004883,0.6500091553,0,,,,,,,,,
2021-09-24,145.6600037,147.4700012,145.5599976,146.1013031,1.910003662,0.3899993896,0,,,,,,,,,
2021-09-27,145.4700012,145.9600067,143.8200073,144.5599365,2.281295776,0,1.739990234,,,,,,,,,
2021-09-28,143.25,144.75,141.6900024,141.1192322,3.059997559,0,2.130004883,,,,,,,,,
2021-09-29,142.4700012,144.4499969,142.0299988,142.0341034,2.759994507,-0.3000030518,0,,,,,,,,,
2021-09-30,143.6600037,144.3800049,141.2799988,140.7115173,3.100006104,0,0.75,,,,,,,,,
2021-10-01,141.8999939,142.9199982,139.1100006,141.8550873,3.809997559,0,2.169998169,,,,,,,,,
2021-10-04,141.7599945,142.2100067,138.2700043,138.3646545,3.940002441,0,0.8399963379,,,,,,,,,
2021-10-05,139.4900055,142.2400055,139.3600006,140.3236694,3.970001221,0.0299987793,0,,,,,,,,,
2021-10-06,139.4700012,142.1499939,138.3699951,141.208725,3.779998779,0,0.9900054932,,,,,,,,,
2021-10-07,143.0599976,144.2200012,142.7200012,142.4915314,5.850006104,2.070007324,0,48.79740906,4.430007935,13.10998535,9.07836711,26.86615049,35.9445176,17.78778338,49.48677731,
2021-10-08,144.0299988,144.1799927,142.5599976,142.1036835,1.619995117,0,0.1600036621,46.93187496,4.113578796,12.33356149,8.764999907,26.27971182,35.04471172,17.51471191,49.978188,
2021-10-11,142.2700043,144.8099976,141.8099976,142.0142212,3,0,0.75,46.57959817,3.81975174,12.20259281,8.200482377,26.19729085,34.39777323,17.99680847,52.31969045,
2021-10-12,143.2299957,143.25,141.0399933,140.7214508,2.210006714,0,0.7700042725,45.46249073,3.54691233,12.10098331,7.801843393,26.61751065,34.41935404,18.81566725,54.66595112,
2021-10-13,141.2400055,141.3999939,139.1999969,140.1248016,2.199996948,0,1.839996338,44.41516691,3.293561449,13.0766237,7.415398112,29.44179794,36.85719605,22.02639983,59.76146367,
2021-10-14,142.1100006,143.8800049,141.5099945,142.9589081,4.680007935,2.480010986,0,45.92266293,5.538318046,12.14257915,12.06009777,26.44136549,38.50146326,14.38126773,37.3525225,
2021-10-15,143.7700043,144.8999939,143.5099945,144.0328979,3.38999939,1.019989014,0,46.03247211,6.162712914,11.27525207,13.38775137,24.49412675,37.88187812,11.10637539,29.31843916,
2021-10-18,143.4499969,146.8399963,143.1600037,145.7333832,3.679992676,1.940002441,0,46.42443106,7.662521575,10.46987692,16.50536453,22.5525153,39.05787983,6.047150776,15.48253721,
2021-10-19,147.0099945,149.1699982,146.5500031,147.9310608,6.009994507,2.330001831,0,49.11839478,9.445200437,9.722028567,19.22945666,19.79305026,39.02250693,0.5635936024,1.444278307,
2021-10-20,148.6999969,149.75,148.1199951,148.4282684,3.199996948,0.5800018311,0,48.80993496,9.350545094,9.027597955,19.15705297,18.49541075,37.65246372,0.6616422223,1.757234871,
2021-10-21,148.8099976,149.6399994,147.8699951,148.6470337,1.770004272,0,0.25,47.0935153,8.682649016,8.63276953,18.43703737,18.33112155,36.76815892,0.1059158258,0.2880639905,
