Date,Open,High,Low,Close,Gain,Loss,Av Gain,Av Loss,RS,RSI
2021-09-17,148.8200073,148.8200073,145.7599945,145.246109,,,,,,
2021-09-20,143.8000031,144.8399963,141.2700043,142.1434937,0,3.102615356,,,,
2021-09-21,143.9299927,144.6000061,142.7799988,142.6307526,0.4872589111,0,,,,
2021-09-22,144.4499969,146.4299927,143.6999969,145.0372772,2.406524658,0,,,,
2021-09-23,146.6499939,147.0800018,145.6399994,146.0118103,0.9745330811,0,,,,
2021-09-24,145.6600037,147.4700012,145.5599976,146.1013031,0.08949279785,0,,,,
2021-09-27,145.4700012,145.9600067,143.8200073,144.5599365,0,1.541366577,,,,
2021-09-28,143.25,144.75,141.6900024,141.1192322,0,3.440704346,,,,
2021-09-29,142.4700012,144.4499969,142.0299988,142.0341034,0.9148712158,0,,,,
2021-09-30,143.6600037,144.3800049,141.2799988,140.7115173,0,1.32258606,,,,
2021-10-01,141.8999939,142.9199982,139.1100006,141.8550873,1.143569946,0,,,,
2021-10-04,141.7599945,142.2100067,138.2700043,138.3646545,0,3.490432739,,,,
2021-10-05,139.4900055,142.2400055,139.3600006,140.3236694,1.959014893,0,,,,
2021-10-06,139.4700012,142.1499939,138.3699951,141.208725,0.885055542,0,,,,
2021-10-07,143.0599976,144.2200012,142.7200012,142.4915314,1.282806396,0,0.724509103,0.9212646484,0.7864288554,44.02239994
2021-10-08,144.0299988,144.1799927,142.5599976,142.1036835,0,0.3878479004,0.6727584527,0.8831634521,0.7617598431,43.23857455
2021-10-11,142.2700043,144.8099976,141.8099976,142.0142212,0,0.08946228027,0.6247042776,0.8264705113,0.7558700147,43.04817603
2021-10-12,143.2299957,143.25,141.0399933,140.7214508,0,1.292770386,0.5800825434,0.8597776452,0.6746890277,40.28742152
2021-10-13,141.2400055,141.3999939,139.1999969,140.1248016,0,0.5966491699,0.5386480761,0.8409827541,0.6404983615,39.04291382
2021-10-14,142.1100006,143.8800049,141.5099945,142.9589081,2.834106445,0,0.7026093881,0.7809125574,0.8997286335,47.3609029
2021-10-15,143.7700043,144.8999939,143.5099945,144.0328979,1.073989868,0,0.7291365653,0.725133089,1.005521023,50.1376456
2021-10-18,143.4499969,146.8399963,143.1600037,145.7333832,1.700485229,0,0.7985186127,0.6733378684,1.185910744,54.25247794
2021-10-19,147.0099945,149.1699982,146.5500031,147.9310608,2.197677612,0,0.8984585413,0.6252423063,1.436976564,58.96554712
2021-10-20,148.6999969,149.75,148.1199951,148.4282684,0.4972076416,0,0.8697977627,0.5805821416,1.498147636,59.97034019
2021-10-21,148.8099976,149.6399994,147.8699951,148.6470337,0.2187652588,0,0.823295441,0.5391119886,1.527132504,60.42945914
2021-10-22,149.6900024,150.1799927,148.6399994,147.8614502,0,0.7855834961,0.7644886238,0.5567170963,1.373208455,57.86295141
2021-10-25,148.6799927,149.3699951,147.6199951,147.8117218,0,0.04972839356,0.7098822935,0.5205036175,1.363837387,57.69590558
2021-10-26,149.3300018,150.8399963,149.0099945,148.4879608,0.6762390137,0,0.7074792021,0.4833247877,1.463775954,59.41189383
2021-10-27,149.3600006,149.7299957,148.4900055,148.0205688,0,0.4673919678,0.6569449734,0.4821867291,1.362428565,57.67067776
2021-10-28,149.8200073,153.1699982,149.7200012,151.7198181,3.699249268,0,0.874252423,0.4477448199,1.952568481,66.13118353
2021-10-29,147.2200012,149.9400024,146.4100037,148.965271,0,2.754547119,0.8118058213,0.6125164127,1.325361745,56.99593827
2021-11-01,148.9900055,149.6999969,147.8000031,148.1299744,0,0.8352966309,0.7538196912,0.6284292854,1.199529858,54.53573878
2021-11-02,148.6600037,151.5700073,148.6499939,149.1840363,1.05406189,0,0.7752655626,0.5835414793,1.328552622,57.05486788
2021-11-03,150.3899994,151.9700012,149.8200073,150.6458588,1.46182251,0,0.8243053445,0.5418599451,1.521251667,60.33716057
2021-11-04,151.5800018,152.4299927,150.6399994,150.1188202,0,0.5270385742,0.7654263913,0.5408012758,1.415356113,58.59823755
2021-11-05,151.8899994,152.1999969,150.0599976,150.6565857,0.5377655029,0,0.7491648993,0.5021726132,1.491847384,59.86913137
2021-11-08,151.4100037,151.5700073,150.1600037,149.8200226,0,0.8365631104,0.6956531208,0.5260576487,1.322389518,56.94090108
2021-11-09,150.1999969,151.4299927,150.0599976,150.1885071,0.3684844971,0,0.6722839334,0.4884821024,1.376271372,57.91726435
2021-11-10,150.0200043,150.1300049,147.8500061,147.3104095,0,2.878097534,0.6242636524,0.6591689189,0.9470465528,48.64015971
2021-11-11,148.9600067,149.4299927,147.6799927,147.2606201,0,0.04978942871,0.5796733915,0.6156418125,0.9415757341,48.495442
2021-11-12,148.4299927,150.3999939,147.4799957,149.3719025,2.111282349,0,0.6890740313,0.5716673973,1.205375774,54.65625351
2021-11-15,150.3699951,151.8800049,149.4299927,149.3818512,0.009948730469,0,0.6405650813,0.5308340118,1.206714466,54.68376107
2021-11-16,149.9400024,151.4900055,149.3399963,150.3777313,0.995880127,0,0.6659447274,0.4929172967,1.351027306,57.46540257
2021-11-17,151,155,150.9900055,152.8574829,2.479751587,0,0.7955023602,0.4577089183,1.738009308,63.47711466
2021-11-18,153.7100067,158.6699982,153.0500031,157.2194214,4.361938477,0,1.050247797,0.4250154242,2.471081606,71.19053617
2021-11-19,157.6499939,161.0200043,156.5299988,159.888382,2.668960571,0,1.165870138,0.3946571796,2.954133862,74.71001147
